GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons JEXL,org.apache.commons.jexl3.scripting,JexlScriptEngine.FactorySingletonHolder,0,5,0,0,0,1,0,1,0,1
Apache Commons JEXL,org.apache.commons.jexl3.scripting,JexlScriptEngineFactory,4,240,3,19,2,42,3,21,0,13
Apache Commons JEXL,org.apache.commons.jexl3.scripting,JexlScriptEngine,88,76,12,6,21,20,12,7,4,6
Apache Commons JEXL,org.apache.commons.jexl3.scripting,JexlScriptEngine.JexlCompiledScript,11,30,0,0,3,7,1,3,1,3
Apache Commons JEXL,org.apache.commons.jexl3.scripting,JexlScriptEngine.JexlContextWrapper,3,54,1,5,1,15,1,6,0,4
Apache Commons JEXL,org.apache.commons.jexl3.scripting,JexlScriptEngine.JexlScriptObject,10,51,2,6,4,13,4,7,2,5
Apache Commons JEXL,org.apache.commons.jexl3.scripting,Main,98,0,8,0,20,0,7,0,3,0
Apache Commons JEXL,org.apache.commons.jexl3.scripting,JexlScriptEngine.EngineSingletonHolder,0,10,0,0,0,1,0,1,0,1
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,PropertyGetExecutor,13,117,6,12,7,24,6,10,0,7
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,AbstractExecutor.Set,0,5,0,0,0,2,0,1,0,1
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,ClassMap.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,MapGetExecutor,0,80,3,15,0,17,3,12,0,6
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,IndexedType.IndexedContainer,0,32,0,0,0,8,0,5,0,5
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,EnumerationIterator,1,14,0,0,1,5,1,3,1,3
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,ConstructorMethod,35,115,9,15,12,33,9,10,1,6
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,MapSetExecutor,2,88,7,11,0,18,6,9,0,6
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,MethodKey.AmbiguousException,0,3,0,0,0,1,0,1,0,1
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,Uberspect,83,550,16,79,16,124,18,55,4,17
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,MethodKey,124,518,70,116,22,107,55,55,2,15
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,BooleanGetExecutor,15,69,9,11,5,14,9,6,1,4
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,MethodExecutor,9,215,3,31,6,46,3,19,0,5
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,Introspector.CacheMiss,3,0,0,0,2,0,1,0,1,0
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,MethodKey.Parameters,19,433,12,91,6,90,12,47,0,7
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,ListGetExecutor,0,111,4,14,0,24,4,11,0,6
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,ClassMap,20,344,6,42,5,77,5,30,0,11
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,FieldSetExecutor,3,83,6,14,2,20,6,10,0,6
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,SandboxUberspect,36,139,10,20,9,32,13,14,3,9
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,AbstractExecutor.Get,0,5,0,0,0,2,0,1,0,1
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,ListSetExecutor,0,134,3,15,0,29,3,12,0,6
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,MethodKey.new MethodKey.Parameters() {...},0,10,0,0,0,3,0,3,0,3
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,MethodKey.new MethodKey.Parameters() {...},0,10,0,0,0,3,0,3,0,3
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,Introspector,94,391,19,43,18,95,18,28,2,13
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,DuckSetExecutor,11,123,7,13,6,19,6,9,0,5
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,Permissions,51,167,17,33,16,54,16,15,1,5
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,PropertySetExecutor,11,230,9,37,7,46,9,22,0,8
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,ArrayListWrapper,27,62,6,8,4,16,4,9,0,6
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,IndexedType,47,284,19,27,8,54,19,12,0,8
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,Uberspect.ArithmeticUberspect,1,34,2,2,0,7,2,3,0,3
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,FieldGetExecutor,7,52,4,6,3,13,4,7,0,6
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,ArrayIterator,45,45,3,5,6,10,4,4,1,3
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,DuckGetExecutor,10,92,8,10,4,16,7,7,0,5
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,AbstractExecutor,32,112,11,21,9,24,13,19,4,12
Apache Commons JEXL,org.apache.commons.jexl3.internal.introspection,AbstractExecutor.Method,3,12,0,0,1,4,1,2,1,2
Apache Commons JEXL,org.apache.commons.jexl3,JexlException.Ambiguous,6,5,0,0,1,2,1,1,1,1
Apache Commons JEXL,org.apache.commons.jexl3,JexlException.Method,0,26,0,0,0,6,0,4,0,4
Apache Commons JEXL,org.apache.commons.jexl3,JexlEngine,58,226,6,14,12,48,9,21,3,17
Apache Commons JEXL,org.apache.commons.jexl3,JexlBuilder,28,146,2,0,9,50,6,26,5,26
Apache Commons JEXL,org.apache.commons.jexl3,MapContext,0,37,0,2,0,11,0,7,0,6
Apache Commons JEXL,org.apache.commons.jexl3,JexlArithmetic,441,1852,127,429,93,414,107,230,5,54
Apache Commons JEXL,org.apache.commons.jexl3,JexlException.Annotation,0,21,0,0,0,4,0,3,0,3
Apache Commons JEXL,org.apache.commons.jexl3,ObjectContext,5,41,3,3,1,10,2,6,0,5
Apache Commons JEXL,org.apache.commons.jexl3,JexlException.Assignment,0,11,0,0,0,3,0,2,0,2
Apache Commons JEXL,org.apache.commons.jexl3,JexlException.Break,0,6,0,0,0,2,0,1,0,1
Apache Commons JEXL,org.apache.commons.jexl3,JxltEngine.Exception,0,6,0,0,0,2,0,1,0,1
Apache Commons JEXL,org.apache.commons.jexl3,JexlOperator,0,505,0,0,0,52,0,7,0,7
Apache Commons JEXL,org.apache.commons.jexl3,JexlEngine.new ThreadLocal() {...},0,5,0,0,0,2,0,2,0,2
Apache Commons JEXL,org.apache.commons.jexl3,JexlEngine.new Object() {...},2,3,0,0,1,1,1,1,1,1
Apache Commons JEXL,org.apache.commons.jexl3,JexlException.Tokenization,18,0,0,0,4,0,3,0,3,0
Apache Commons JEXL,org.apache.commons.jexl3,JexlEngine.new JexlContext.NamespaceResolver() {...},0,5,0,0,0,2,0,2,0,2
Apache Commons JEXL,org.apache.commons.jexl3,JexlEngine.new JexlContext() {...},5,7,0,0,1,3,1,3,1,3
Apache Commons JEXL,org.apache.commons.jexl3,JexlException.Variable,3,29,0,2,1,5,1,4,1,3
Apache Commons JEXL,org.apache.commons.jexl3,JexlException,96,303,15,31,25,71,18,23,3,15
Apache Commons JEXL,org.apache.commons.jexl3,JexlArithmetic.NullOperand,0,3,0,0,0,1,0,1,0,1
Apache Commons JEXL,org.apache.commons.jexl3,JexlException.Property,6,21,0,0,2,4,1,3,1,3
Apache Commons JEXL,org.apache.commons.jexl3,JexlException.new JexlInfo() {...},0,10,0,0,0,2,0,2,0,2
Apache Commons JEXL,org.apache.commons.jexl3,JexlException.Return,0,12,0,0,0,4,0,2,0,2
Apache Commons JEXL,org.apache.commons.jexl3,JexlException.Operator,0,21,0,0,0,4,0,3,0,3
