CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation
AbsoluteNameLocationStrategy.java,3,0.0,24.0,0.0,6.0,0.0,6.0,0.0,5.0,0.0,2.0,1.0
AbstractConfiguration.java,1,87.0,1405.0,17.0,111.0,11.0,346.0,16.0,155.0,1.0,105.0,0.940909091
AbstractHierarchicalConfiguration.java,1,6.0,590.0,1.0,51.0,2.0,137.0,1.0,61.0,0.0,36.0,0.9560439559999999
AbstractImmutableNodeHandler.java,1,0.0,115.0,0.0,14.0,0.0,24.0,0.0,22.0,0.0,15.0,1.0
AbstractListDelimiterHandler.java,2,5.0,133.0,1.0,21.0,1.0,27.0,1.0,17.0,0.0,7.0,0.961538462
AbstractYAMLBasedConfiguration.java,2,6.0,214.0,1.0,19.0,1.0,50.0,1.0,18.0,0.0,9.0,0.8125
AppletConfiguration.java,1,45.0,0.0,4.0,0.0,9.0,0.0,5.0,0.0,3.0,0.0,0.0
AutoSaveListener.java,1,0.0,73.0,0.0,12.0,0.0,22.0,0.0,13.0,0.0,7.0,1.0
BaseConfiguration.java,1,6.0,136.0,0.0,8.0,2.0,35.0,0.0,15.0,0.0,11.0,1.0
BaseConfigurationBuilderProvider.java,1,6.0,242.0,0.0,18.0,2.0,61.0,0.0,26.0,0.0,17.0,1.0
BaseConfigurationXMLReader.java,1,0.0,36.0,0.0,0.0,0.0,13.0,0.0,6.0,0.0,6.0,0.9
BaseEventSource.java,1,0.0,215.0,0.0,20.0,0.0,58.0,0.0,27.0,0.0,17.0,0.931034483
BaseHierarchicalConfiguration.java,1,4.0,556.0,1.0,31.0,1.0,138.0,1.0,49.0,0.0,34.0,0.905660377
BasePathLocationStrategy.java,3,0.0,21.0,0.0,4.0,0.0,8.0,0.0,4.0,0.0,2.0,1.0
BaseWebConfiguration.java,1,0.0,51.0,0.0,8.0,0.0,10.0,0.0,10.0,0.0,6.0,1.0
BasicBuilderParameters.java,1,6.0,455.0,0.0,46.0,2.0,109.0,0.0,52.0,0.0,29.0,0.9411764709999999
BasicBuilderProperties.java,0,,,,,,,,,,,
BasicConfigurationBuilder.java,1,2.0,448.0,1.0,39.0,1.0,135.0,1.0,55.0,0.0,36.0,0.956521739
BeanCreationContext.java,0,,,,,,,,,,,
BeanDeclaration.java,0,,,,,,,,,,,
BeanFactory.java,0,,,,,,,,,,,
BeanHelper.java,2,101.0,388.0,11.0,39.0,24.0,106.0,7.0,42.0,0.0,24.0,0.9215686270000001
BuilderConfigurationWrapperFactory.java,1,0.0,71.0,0.0,6.0,0.0,21.0,0.0,9.0,0.0,6.0,1.0
BuilderParameters.java,0,,,,,,,,,,,
CatalogResolver.java,2,49.0,140.0,6.0,8.0,7.0,43.0,5.0,14.0,0.0,12.0,0.428571429
ClasspathLocationStrategy.java,2,0.0,13.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,2.0,1.0
CombinedBeanDeclaration.java,2,0.0,153.0,0.0,26.0,0.0,41.0,0.0,20.0,0.0,7.0,1.0
CombinedBuilderParameters.java,0,,,,,,,,,,,
CombinedBuilderParametersImpl.java,1,6.0,231.0,0.0,20.0,1.0,68.0,1.0,34.0,1.0,24.0,0.9714285709999999
CombinedBuilderProperties.java,0,,,,,,,,,,,
CombinedConfiguration.java,1,2.0,715.0,3.0,67.0,0.0,201.0,3.0,68.0,0.0,36.0,0.8914728679999999
CombinedConfigurationBuilder.java,1,25.0,1019.0,11.0,71.0,4.0,257.0,11.0,74.0,0.0,44.0,0.897435897
CombinedConfigurationBuilderProvider.java,1,0.0,65.0,0.0,2.0,0.0,19.0,0.0,5.0,0.0,4.0,0.8
CombinedLocationStrategy.java,2,0.0,53.0,0.0,8.0,0.0,15.0,0.0,7.0,0.0,3.0,1.0
CombinedReloadingController.java,1,0.0,63.0,0.0,6.0,0.0,17.0,0.0,9.0,0.0,6.0,1.0
CompositeConfiguration.java,2,17.0,590.0,6.0,72.0,7.0,158.0,6.0,60.0,0.0,27.0,0.8607594940000001
Configuration.java,0,,,,,,,,,,,
ConfigurationAttributePointer.java,1,2.0,67.0,1.0,3.0,1.0,22.0,2.0,14.0,1.0,13.0,0.933333333
ConfigurationBuilder.java,0,,,,,,,,,,,
ConfigurationBuilderEvent.java,1,0.0,28.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,1.0
ConfigurationBuilderProvider.java,0,,,,,,,,,,,
ConfigurationBuilderResultCreatedEvent.java,1,0.0,25.0,0.0,2.0,0.0,7.0,0.0,4.0,0.0,3.0,1.0
ConfigurationComparator.java,0,,,,,,,,,,,
ConfigurationConsumer.java,0,,,,,,,,,,,
ConfigurationConverter.java,1,0.0,76.0,0.0,6.0,0.0,24.0,0.0,8.0,0.0,5.0,1.0
ConfigurationDeclaration.java,1,4.0,87.0,0.0,14.0,2.0,23.0,2.0,15.0,2.0,8.0,0.85
ConfigurationDecoder.java,0,,,,,,,,,,,
ConfigurationDynaBean.java,2,75.0,296.0,10.0,34.0,7.0,61.0,9.0,25.0,0.0,12.0,0.8857142859999999
ConfigurationDynaClass.java,4,36.0,140.0,4.0,26.0,5.0,42.0,6.0,15.0,2.0,4.0,0.8
ConfigurationErrorEvent.java,1,0.0,48.0,0.0,0.0,0.0,13.0,0.0,6.0,0.0,6.0,1.0
ConfigurationEvent.java,1,0.0,78.0,0.0,0.0,0.0,17.0,0.0,5.0,0.0,5.0,1.0
ConfigurationException.java,1,0.0,16.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,4.0,
ConfigurationInterpolator.java,1,0.0,347.0,0.0,44.0,0.0,84.0,0.0,49.0,0.0,27.0,1.0
ConfigurationLogger.java,1,0.0,91.0,0.0,4.0,0.0,31.0,0.0,18.0,0.0,16.0,1.0
ConfigurationLookup.java,1,0.0,21.0,0.0,2.0,0.0,7.0,0.0,4.0,0.0,3.0,1.0
ConfigurationMap.java,1,0.0,36.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,5.0,0.8235294120000001
ConfigurationNodeIteratorAttribute.java,2,0.0,100.0,0.0,12.0,0.0,24.0,0.0,11.0,0.0,5.0,1.0
