CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation
AbstractBackToLinkedRuleBuilder.java,1,20.0,38.0,1.0,3.0,2.0,13.0,2.0,6.0,1.0,5.0,0.5
AbstractMethodHandler.java,3,74.0,169.0,11.0,19.0,14.0,31.0,10.0,9.0,0.0,4.0,0.75
AbstractMethodRule.java,1,124.0,104.0,4.0,8.0,13.0,33.0,6.0,11.0,3.0,8.0,0.5
AbstractNamespaceURIBasedRulesModule.java,1,13.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0
AbstractObjectCreationFactory.java,1,3.0,10.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,2.0,0.0
AbstractParamTypeBuilder.java,1,48.0,65.0,2.0,4.0,7.0,22.0,2.0,10.0,0.0,9.0,0.38888888899999996
AbstractRulesImpl.java,1,0.0,36.0,0.0,4.0,0.0,13.0,0.0,8.0,0.0,6.0,0.428571429
AbstractRulesModule.java,1,21.0,23.0,1.0,1.0,7.0,8.0,4.0,4.0,3.0,4.0,0.571428571
AbstractXmlMethodRule.java,1,0.0,33.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,2.0,1.0
AbstractXmlRule.java,1,0.0,22.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,1.0
AnnotationHandler.java,0,,,,,,,,,,,
AnnotationHandlerFactory.java,0,,,,,,,,,,,
AnnotationUtils.java,1,11.0,56.0,6.0,6.0,6.0,15.0,6.0,6.0,0.0,6.0,0.5
BeanPropertySetter.java,0,,,,,,,,,,,
BeanPropertySetterBuilder.java,1,4.0,31.0,1.0,1.0,1.0,10.0,1.0,4.0,0.0,4.0,0.666666667
BeanPropertySetterHandler.java,1,0.0,16.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,
BeanPropertySetterRule.java,1,88.0,103.0,5.0,9.0,14.0,27.0,8.0,9.0,4.0,6.0,0.545454545
BeanPropertySetterRule.java,1,0.0,25.0,0.0,2.0,0.0,8.0,0.0,3.0,0.0,2.0,0.545454545
ByRuleBuilder.java,1,0.0,13.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0
ByRuleProviderBuilder.java,1,0.0,14.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0
CallMethod.java,0,,,,,,,,,,,
CallMethodBuilder.java,2,44.0,141.0,2.0,14.0,7.0,34.0,3.0,13.0,1.0,7.0,0.7142857140000001
CallMethodHandler.java,2,3.0,21.0,1.0,1.0,1.0,8.0,1.0,2.0,0.0,2.0,1.0
CallMethodRule.java,3,328.0,331.0,25.0,35.0,47.0,75.0,22.0,25.0,6.0,11.0,0.583333333
CallMethodRule.java,3,7.0,87.0,2.0,10.0,2.0,22.0,2.0,6.0,0.0,2.0,0.583333333
CallMethodRule.java,2,328.0,331.0,25.0,35.0,47.0,75.0,22.0,25.0,6.0,11.0,0.583333333
CallMethodRule.java,2,7.0,87.0,2.0,10.0,2.0,22.0,2.0,6.0,0.0,2.0,0.583333333
CallParam.java,0,,,,,,,,,,,
CallParamBuilder.java,1,12.0,57.0,1.0,3.0,4.0,17.0,2.0,6.0,1.0,5.0,0.7
CallParamHandler.java,3,5.0,28.0,1.0,3.0,1.0,9.0,1.0,3.0,0.0,2.0,1.0
CallParamRule.java,1,67.0,131.0,2.0,16.0,9.0,36.0,4.0,14.0,2.0,7.0,0.923076923
CallParamRule.java,1,11.0,48.0,2.0,6.0,2.0,14.0,2.0,4.0,0.0,2.0,0.923076923
CallParamRule.java,3,67.0,131.0,2.0,16.0,9.0,36.0,4.0,14.0,2.0,7.0,0.923076923
CallParamRule.java,3,11.0,48.0,2.0,6.0,2.0,14.0,2.0,4.0,0.0,2.0,0.923076923
