CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation
ASTAnnotation.java,1,19.0,22.0,1.0,1.0,5.0,7.0,4.0,3.0,3.0,3.0,0.5
ASTArrayLiteral.java,1,8.0,57.0,0.0,8.0,2.0,15.0,1.0,9.0,1.0,5.0,0.7
ASTIdentifier.java,1,11.0,46.0,0.0,2.0,2.0,15.0,1.0,8.0,1.0,7.0,0.8
ASTIdentifierAccess.java,1,13.0,90.0,2.0,14.0,3.0,26.0,3.0,13.0,1.0,7.0,0.826086957
ASTJexlLambda.java,1,5.0,27.0,1.0,5.0,2.0,8.0,2.0,5.0,1.0,3.0,1.0
ASTJexlScript.java,1,53.0,87.0,10.0,12.0,9.0,21.0,12.0,13.0,5.0,9.0,0.6521739129999999
ASTJxltLiteral.java,1,8.0,22.0,0.0,0.0,2.0,8.0,1.0,5.0,1.0,5.0,0.666666667
ASTMapLiteral.java,1,14.0,51.0,4.0,4.0,4.0,13.0,4.0,6.0,1.0,5.0,0.7
ASTNumberLiteral.java,1,14.0,38.0,0.0,0.0,4.0,12.0,2.0,8.0,2.0,8.0,0.666666667
ASTReferenceExpression.java,1,5.0,9.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0
ASTSetLiteral.java,1,11.0,45.0,0.0,6.0,3.0,12.0,2.0,7.0,2.0,4.0,0.444444444
ASTStringLiteral.java,1,8.0,24.0,0.0,0.0,2.0,9.0,1.0,6.0,1.0,6.0,1.0
ASTVar.java,1,5.0,9.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0
AbstractExecutor.java,1,32.0,112.0,11.0,21.0,9.0,24.0,13.0,19.0,4.0,12.0,0.648648649
ArrayBuilder.java,4,22.0,218.0,10.0,28.0,7.0,48.0,8.0,16.0,0.0,5.0,0.870967742
ArrayIterator.java,1,45.0,45.0,3.0,5.0,6.0,10.0,4.0,4.0,1.0,3.0,0.8888888890000001
ArrayListWrapper.java,2,27.0,62.0,6.0,8.0,4.0,16.0,4.0,9.0,0.0,6.0,0.684210526
BooleanGetExecutor.java,2,15.0,69.0,9.0,11.0,5.0,14.0,9.0,6.0,1.0,4.0,0.588235294
ClassMap.java,3,20.0,344.0,6.0,42.0,5.0,77.0,5.0,30.0,0.0,11.0,0.795454545
Closure.java,2,35.0,180.0,16.0,18.0,7.0,37.0,17.0,10.0,2.0,8.0,0.55
ConstructorMethod.java,2,35.0,115.0,9.0,15.0,12.0,33.0,9.0,10.0,1.0,6.0,0.41666666700000005
