CLASS,AvgCyclomatic,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,mutation,,STATEMENTCoverage,BRANCHCoverage
AbstractAnnotation.java,1,21,83,4,4,7,24,6,9,3,8,0.65,,0.578511263,0.461324009
AbstractBlock.java,1,81,412,4,30,16,120,12,42,8,29,0.547945205,,,
AbstractCategoryItemLabelGenerator.java,1,64,191,7,15,16,55,11,13,5,8,0.484848485,,,
AbstractCategoryItemRenderer.java,2,977,911,121,91,260,275,94,71,11,48,0.339694656,,,
AbstractDataset.java,1,18,107,4,4,8,31,6,12,3,11,0.583333333,,,
AbstractDialLayer.java,1,24,98,3,7,9,25,6,10,3,8,0.695652174,,,
AbstractIntervalXYDataset.java,2,0,59,2,6,0,21,2,7,0,5,1,,,
AbstractObjectList.java,2,30,214,6,28,7,60,7,23,1,12,0.769230769,,,
AbstractOverlay.java,1,33,29,3,1,8,9,4,3,2,3,0.166666667,,,
AbstractPieItemLabelGenerator.java,2,5,183,4,18,2,53,5,15,1,8,0.620689655,,,
AbstractPieLabelDistributor.java,1,0,31,0,0,0,10,0,5,0,5,0.25,,,
AbstractRenderer.java,1,694,1860,127,177,121,566,131,179,34,124,0.505070994,,,
AbstractSeriesDataset.java,1,0,26,0,4,0,9,0,5,0,3,0.857142857,,,
AbstractXYAnnotation.java,2,61,41,11,5,20,14,11,5,3,5,0.238095238,,,
AbstractXYDataset.java,1,0,33,1,3,0,12,1,5,0,4,0.8,,,
AbstractXYItemLabelGenerator.java,1,72,233,10,22,16,65,13,19,4,12,0.684210526,,,
AbstractXYItemRenderer.java,2,1335,869,133,77,346,260,102,58,18,35,0.225806452,,,
AbstractXYZDataset.java,2,14,3,2,0,5,1,2,1,1,1,0,,,
Align.java,4,81,0,12,0,18,0,7,0,1,0,0,,,
Annotation.java,0,,,,,,,,,,,,,,
AnnotationChangeEvent.java,1,3,10,0,0,1,4,1,1,1,1,0,,,
AnnotationChangeListener.java,0,,,,,,,,,,,,,,
ApplicationFrame.java,1,22,0,2,0,13,0,9,0,8,0,0,,,
ArcDialFrame.java,1,231,316,3,19,47,80,14,22,11,14,0.274509804,,,
AreaRenderer.java,4,333,140,39,11,80,39,25,7,2,5,0.211267606,,,
